Crime Code,Crime Code Description
882,INCITING A RIOT
942,BRIBERY
347,GRAND THEFT / INSURANCE FRAUD
661,UNAUTHORIZED COMPUTER ACCESS
444,DISHONEST EMPLOYEE - PETTY THEFT
944,CONSPIRACY
951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER"
840,"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM0065"
439,FALSE POLICE REPORT
345,DISHONEST EMPLOYEE - GRAND THEFT
954,CONTRIBUTING
435,LYNCHING
436,LYNCHING - ATTEMPTED
660,COUNTERFEIT
485,BIKE - ATTEMPTED STOLEN
830,INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES)
442,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
755,BOMB SCARE
924,TELEPHONE PROPERTY - DAMAGE
922,CHILD STEALING
931,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)0132"
649,DOCUMENT FORGERY / STOLEN FELONY
666,"BUNCO, ATTEMPT"
421,THEFT FROM MOTOR VEHICLE - ATTEMPT
662,"BUNCO, GRAND THEFT"
451,PURSE SNATCHING - ATTEMPT
320,"BURGLARY, ATTEMPTED"
902,VIOLATION OF TEMPORARY RESTRAINING ORDER
510,VEHICLE - STOLEN
452,"PICKPOCKET, ATTEMPT"
331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER)
956,"LETTERS, LEWD"
520,VEHICLE - ATTEMPT STOLEN
433,DRIVING WITHOUT OWNER CONSENT (DWOC)
352,PICKPOCKET
353,DRUNK ROLL
943,CRUELTY TO ANIMALS
940,EXTORTION
648,ARSON
438,RECKLESS DRIVING
251,SHOTS FIRED AT INHABITED DWELLING
756,WEAPONS POSSESSION/BOMBING
237,CHILD NEGLECT (SEE 300 W.I.C.)
806,PANDERING
434,FALSE IMPRISONMENT
310,BURGLARY
890,FAILURE TO YIELD
805,PIMPING
235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT
410,"BURGLARY FROM VEHICLE, ATTEMPTED"
122,"RAPE, ATTEMPTED"
903,CONTEMPT OF COURT
886,DISTURBING THE PEACE
354,THEFT OF IDENTITY
815,SEXUAL PENTRATION WITH A FOREIGN OBJECT
820,ORAL COPULATION
250,"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT"
480,BIKE - STOLEN
901,VIOLATION OF RESTRAINING ORDER
762,LEWD CONDUCT
351,PURSE SNATCHING
622,BATTERY ON A FIREFIGHTER
812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)0060
920,KIDNAPPING - GRAND ATTEMPT
763,STALKING
850,INDECENT EXPOSURE
813,CHILD ANNOYING (17YRS & UNDER)
341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036"
450,THEFT FROM PERSON - ATTEMPT
888,TRESPASSING
900,VIOLATION OF COURT ORDER
910,KIDNAPPING
437,RESISTING ARREST
420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
330,BURGLARY FROM VEHICLE
441,THEFT PLAIN - ATTEMPT
810,"SEX, UNLAWFUL"
623,BATTERY POLICE (SIMPLE)
928,THREATENING PHONE CALLS/LETTERS
946,OTHER MISCELLANEOUS CRIME
753,DISCHARGE FIREARMS/SHOTS FIRED
110,CRIMINAL HOMICIDE
627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT
231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER
625,OTHER ASSAULT
121,"RAPE, FORCIBLE"
440,THEFT PLAIN - PETTY ($950 & UNDER)
664,"BUNCO, PETTY THEFT"
745,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114"
350,"THEFT, PERSON"
236,INTIMATE PARTNER - AGGRAVATED ASSAULT
930,CRIMINAL THREATS - NO WEAPON DISPLAYED
821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH 0007=02
761,BRANDISH WEAPON
220,ATTEMPTED ROBBERY
647,THROWING OBJECT AT MOVING VEHICLE
230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
860,BATTERY WITH SEXUAL CONTACT
210,ROBBERY
624,BATTERY - SIMPLE ASSAULT
626,INTIMATE PARTNER - SIMPLE ASSAULT
